Full Name,Owner,Repo,Description,Stars,Language,Updated,Repo URL,User URL,Labels
"r3-team/r3-team","r3-team","r3-team","REI3 - Free and open low code","522","JavaScript","Dec 26, 2025, 7:42 AM GMT-5","https://github.com/r3-team/r3-team","https://github.com/r3-team","[{""text"":""golang"",""url"":""https://github.com/topics/golang""},{""text"":""internal-tools"",""url"":""https://github.com/topics/internal-tools""},{""text"":""web-development"",""url"":""https://github.com/topics/web-development""},{""text"":""selfhosted"",""url"":""https://github.com/topics/selfhosted""},{""text"":""free-software"",""url"":""https://github.com/topics/free-software""},{""text"":""application-builder"",""url"":""https://github.com/topics/application-builder""},{""text"":""business-solutions"",""url"":""https://github.com/topics/business-solutions""},{""text"":""webdevelopment"",""url"":""https://github.com/topics/webdevelopment""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""business-managment"",""url"":""https://github.com/topics/business-managment""},{""text"":""nocode"",""url"":""https://github.com/topics/nocode""},{""text"":""lowcode"",""url"":""https://github.com/topics/lowcode""},{""text"":""business-software"",""url"":""https://github.com/topics/business-software""},{""text"":""internal-solutions"",""url"":""https://github.com/topics/internal-solutions""}]"
"dappros/dappros","dappros","dappros","Open-source engine for chat 💬, AI assistants 🤖 & wallets 🪪. React, Typescript, Python, XMPP. Build future apps with chat, AI agents and web3.","516","TypeScript","Oct 7, 2025, 10:09 AM GMT-5","https://github.com/dappros/dappros","https://github.com/dappros","[{""text"":""react"",""url"":""https://github.com/topics/react""},{""text"":""open-source"",""url"":""https://github.com/topics/open-source""},{""text"":""react-native"",""url"":""https://github.com/topics/react-native""},{""text"":""reactjs"",""url"":""https://github.com/topics/reactjs""},{""text"":""mcp"",""url"":""https://github.com/topics/mcp""},{""text"":""messaging"",""url"":""https://github.com/topics/messaging""},{""text"":""ethereum"",""url"":""https://github.com/topics/ethereum""},{""text"":""xmpp"",""url"":""https://github.com/topics/xmpp""},{""text"":""chatbot"",""url"":""https://github.com/topics/chatbot""},{""text"":""developer-tools"",""url"":""https://github.com/topics/developer-tools""},{""text"":""wallet"",""url"":""https://github.com/topics/wallet""},{""text"":""ejabberd"",""url"":""https://github.com/topics/ejabberd""},{""text"":""web3"",""url"":""https://github.com/topics/web3""},{""text"":""chat-widget"",""url"":""https://github.com/topics/chat-widget""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""chat-sdk"",""url"":""https://github.com/topics/chat-sdk""},{""text"":""rag"",""url"":""https://github.com/topics/rag""},{""text"":""super-app"",""url"":""https://github.com/topics/super-app""},{""text"":""ai-chat"",""url"":""https://github.com/topics/ai-chat""},{""text"":""ethora"",""url"":""https://github.com/topics/ethora""}]"
"Liberty-liu/Liberty-liu","Liberty-liu","Liberty-liu","🦮 Powerful lowcode|vue form editor,generator,designer,builder library. It provides an easy way to create custom forms. The project is extensible, easy to use and configure, and provides many commonly used form components and functions(vue可视化低代码表单设计器、表单编辑器、element-plus vant表单设计)","509","JavaScript","Apr 22, 2024, 7:54 AM GMT-5","https://github.com/Liberty-liu/Liberty-liu","https://github.com/Liberty-liu","[{""text"":""vue"",""url"":""https://github.com/topics/vue""},{""text"":""drag-and-drop"",""url"":""https://github.com/topics/drag-and-drop""},{""text"":""validator"",""url"":""https://github.com/topics/validator""},{""text"":""form"",""url"":""https://github.com/topics/form""},{""text"":""form-builder"",""url"":""https://github.com/topics/form-builder""},{""text"":""designer"",""url"":""https://github.com/topics/designer""},{""text"":""wysiwyg-editor"",""url"":""https://github.com/topics/wysiwyg-editor""},{""text"":""json-form"",""url"":""https://github.com/topics/json-form""},{""text"":""form-generator"",""url"":""https://github.com/topics/form-generator""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""form-designer"",""url"":""https://github.com/topics/form-designer""},{""text"":""schema-form"",""url"":""https://github.com/topics/schema-form""},{""text"":""vant"",""url"":""https://github.com/topics/vant""},{""text"":""vue-form"",""url"":""https://github.com/topics/vue-form""},{""text"":""form-editor"",""url"":""https://github.com/topics/form-editor""},{""text"":""vue3"",""url"":""https://github.com/topics/vue3""},{""text"":""element-plus"",""url"":""https://github.com/topics/element-plus""},{""text"":""lowcode-editor"",""url"":""https://github.com/topics/lowcode-editor""},{""text"":""everright"",""url"":""https://github.com/topics/everright""}]"
"TotallyInformation/TotallyInformation","TotallyInformation","TotallyInformation","Easily create data-driven web UI's for Node-RED. Single- & Multi-page. Multiple UI's. Work with existing web development workflows or mix and match with no-code/low-code features.","502","JavaScript","Dec 15, 2025, 12:47 PM GMT-5","https://github.com/TotallyInformation/TotallyInformation","https://github.com/TotallyInformation","[{""text"":""javascript"",""url"":""https://github.com/topics/javascript""},{""text"":""css"",""url"":""https://github.com/topics/css""},{""text"":""html"",""url"":""https://github.com/topics/html""},{""text"":""website"",""url"":""https://github.com/topics/website""},{""text"":""ui"",""url"":""https://github.com/topics/ui""},{""text"":""dashboard"",""url"":""https://github.com/topics/dashboard""},{""text"":""data-driven"",""url"":""https://github.com/topics/data-driven""},{""text"":""node-red"",""url"":""https://github.com/topics/node-red""},{""text"":""web-app"",""url"":""https://github.com/topics/web-app""},{""text"":""websockets"",""url"":""https://github.com/topics/websockets""},{""text"":""web-components"",""url"":""https://github.com/topics/web-components""},{""text"":""web-application"",""url"":""https://github.com/topics/web-application""},{""text"":""webapp"",""url"":""https://github.com/topics/webapp""},{""text"":""flow-based-programming"",""url"":""https://github.com/topics/flow-based-programming""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""zero-code"",""url"":""https://github.com/topics/zero-code""}]"
"skyvers/skyvers","skyvers","skyvers","Skyve is an open-source low-code platform that gives you access to all of the key capabilities needed to build sophisticated, robust and scalable cloud solutions.","499","JavaScript","Dec 23, 2025, 11:51 PM GMT-5","https://github.com/skyvers/skyvers","https://github.com/skyvers","[{""text"":""java"",""url"":""https://github.com/topics/java""},{""text"":""framework"",""url"":""https://github.com/topics/framework""},{""text"":""xml"",""url"":""https://github.com/topics/xml""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""skyve"",""url"":""https://github.com/topics/skyve""}]"
"Yiuman/Yiuman","Yiuman","Yiuman","🌈 低代码快速开发脚手架，灵活、高效，降低开发成本","495","Java","May 29, 2024, 8:05 AM GMT-5","https://github.com/Yiuman/Yiuman","https://github.com/Yiuman","[{""text"":""workflow"",""url"":""https://github.com/topics/workflow""},{""text"":""jwt"",""url"":""https://github.com/topics/jwt""},{""text"":""crud"",""url"":""https://github.com/topics/crud""},{""text"":""admin"",""url"":""https://github.com/topics/admin""},{""text"":""vue"",""url"":""https://github.com/topics/vue""},{""text"":""rest-api"",""url"":""https://github.com/topics/rest-api""},{""text"":""rbac"",""url"":""https://github.com/topics/rbac""},{""text"":""springboot"",""url"":""https://github.com/topics/springboot""},{""text"":""springsecurity"",""url"":""https://github.com/topics/springsecurity""},{""text"":""citrus"",""url"":""https://github.com/topics/citrus""},{""text"":""mybatis-plus"",""url"":""https://github.com/topics/mybatis-plus""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""springboot2-x"",""url"":""https://github.com/topics/springboot2-x""},{""text"":""lowcode"",""url"":""https://github.com/topics/lowcode""}]"
"z2586300277/z2586300277","z2586300277","z2586300277","Three.js Editor 一个基于three.js 的低代码编辑器 -- star -- 点星星","487","JavaScript","Oct 14, 2025, 4:28 AM GMT-5","https://github.com/z2586300277/z2586300277","https://github.com/z2586300277","[{""text"":""javascript"",""url"":""https://github.com/topics/javascript""},{""text"":""threejs"",""url"":""https://github.com/topics/threejs""},{""text"":""npm-package"",""url"":""https://github.com/topics/npm-package""},{""text"":""gsap"",""url"":""https://github.com/topics/gsap""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""datgui"",""url"":""https://github.com/topics/datgui""},{""text"":""vue3"",""url"":""https://github.com/topics/vue3""},{""text"":""three-editor"",""url"":""https://github.com/topics/three-editor""}]"
"aeria-org/aeria-org","aeria-org","aeria-org","A language designed for the web that integrates with TypeScript","482","TypeScript","Dec 22, 2025, 12:22 PM GMT-5","https://github.com/aeria-org/aeria-org","https://github.com/aeria-org","[{""text"":""javascript"",""url"":""https://github.com/topics/javascript""},{""text"":""node"",""url"":""https://github.com/topics/node""},{""text"":""typescript"",""url"":""https://github.com/topics/typescript""},{""text"":""orm"",""url"":""https://github.com/topics/orm""},{""text"":""mongodb"",""url"":""https://github.com/topics/mongodb""},{""text"":""odm"",""url"":""https://github.com/topics/odm""},{""text"":""rapid-development"",""url"":""https://github.com/topics/rapid-development""},{""text"":""appsec"",""url"":""https://github.com/topics/appsec""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""strong-typed"",""url"":""https://github.com/topics/strong-typed""},{""text"":""bun"",""url"":""https://github.com/topics/bun""},{""text"":""prisma"",""url"":""https://github.com/topics/prisma""},{""text"":""deno"",""url"":""https://github.com/topics/deno""},{""text"":""aeria"",""url"":""https://github.com/topics/aeria""},{""text"":""vibe-coding"",""url"":""https://github.com/topics/vibe-coding""}]"
"benwinding/benwinding","benwinding","benwinding","A firebase data provider for the react-admin framework","467","TypeScript","Feb 9, 2025, 8:56 PM GMT-5","https://github.com/benwinding/benwinding","https://github.com/benwinding","[{""text"":""react"",""url"":""https://github.com/topics/react""},{""text"":""firebase"",""url"":""https://github.com/topics/firebase""},{""text"":""firebase-auth"",""url"":""https://github.com/topics/firebase-auth""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""react-admin"",""url"":""https://github.com/topics/react-admin""},{""text"":""firestore"",""url"":""https://github.com/topics/firestore""},{""text"":""firebase-authui"",""url"":""https://github.com/topics/firebase-authui""},{""text"":""low-code-development-platform"",""url"":""https://github.com/topics/low-code-development-platform""},{""text"":""firestore-dataprovider"",""url"":""https://github.com/topics/firestore-dataprovider""}]"
"uimix-editor/uimix-editor","uimix-editor","uimix-editor","A WYSIWYG React component builder 🚧 Very work-in-progress","462","TypeScript","Jun 25, 2024, 1:00 AM GMT-5","https://github.com/uimix-editor/uimix-editor","https://github.com/uimix-editor","[{""text"":""react"",""url"":""https://github.com/topics/react""},{""text"":""javascript"",""url"":""https://github.com/topics/javascript""},{""text"":""css"",""url"":""https://github.com/topics/css""},{""text"":""html"",""url"":""https://github.com/topics/html""},{""text"":""ui-components"",""url"":""https://github.com/topics/ui-components""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""design-to-code"",""url"":""https://github.com/topics/design-to-code""}]"
"turbot/turbot","turbot","turbot","Flowpipe is a cloud scripting engine. Automation and workflow to connect your clouds to the people, systems and data that matters.","451","Go","Dec 25, 2025, 3:08 AM GMT-5","https://github.com/turbot/turbot","https://github.com/turbot","[{""text"":""golang"",""url"":""https://github.com/topics/golang""},{""text"":""security"",""url"":""https://github.com/topics/security""},{""text"":""workflow"",""url"":""https://github.com/topics/workflow""},{""text"":""devops"",""url"":""https://github.com/topics/devops""},{""text"":""automation"",""url"":""https://github.com/topics/automation""},{""text"":""cloud"",""url"":""https://github.com/topics/cloud""},{""text"":""orchestration"",""url"":""https://github.com/topics/orchestration""},{""text"":""hacktoberfest"",""url"":""https://github.com/topics/hacktoberfest""},{""text"":""workflow-automation"",""url"":""https://github.com/topics/workflow-automation""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""flowpipe"",""url"":""https://github.com/topics/flowpipe""}]"
"makafeli/makafeli","makafeli","makafeli","AI assistant integration for n8n workflow automation through Model Context Protocol (MCP). Connect Claude Desktop, ChatGPT, and other AI assistants to n8n for natural language workflow management.","449","JavaScript","Aug 4, 2025, 4:50 AM GMT-5","https://github.com/makafeli/makafeli","https://github.com/makafeli","[{""text"":""nodejs"",""url"":""https://github.com/topics/nodejs""},{""text"":""typescript"",""url"":""https://github.com/topics/typescript""},{""text"":""rest-api"",""url"":""https://github.com/topics/rest-api""},{""text"":""webhook"",""url"":""https://github.com/topics/webhook""},{""text"":""api-wrapper"",""url"":""https://github.com/topics/api-wrapper""},{""text"":""workflow-management"",""url"":""https://github.com/topics/workflow-management""},{""text"":""workflow-automation"",""url"":""https://github.com/topics/workflow-automation""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""api-integration"",""url"":""https://github.com/topics/api-integration""},{""text"":""automation-tools"",""url"":""https://github.com/topics/automation-tools""},{""text"":""n8n"",""url"":""https://github.com/topics/n8n""},{""text"":""ai-assistant"",""url"":""https://github.com/topics/ai-assistant""},{""text"":""ai-automation"",""url"":""https://github.com/topics/ai-automation""},{""text"":""ai-integration"",""url"":""https://github.com/topics/ai-integration""},{""text"":""chatgpt-integration"",""url"":""https://github.com/topics/chatgpt-integration""},{""text"":""claude-desktop"",""url"":""https://github.com/topics/claude-desktop""},{""text"":""model-context-protocol"",""url"":""https://github.com/topics/model-context-protocol""},{""text"":""mcp-server"",""url"":""https://github.com/topics/mcp-server""}]"
"phodal/phodal","phodal","phodal","Quake is a knowledge management meta-framework for geeks. Use meta-data + Transflow to CRUD data, Git + markdown to management content, Web Component for frontend-custom. Quake 是面向极客的知识管理元框架。","449","Rust","Jun 13, 2023, 2:25 AM GMT-5","https://github.com/phodal/phodal","https://github.com/phodal","[{""text"":""knowledge-graph"",""url"":""https://github.com/topics/knowledge-graph""},{""text"":""content-management"",""url"":""https://github.com/topics/content-management""},{""text"":""knowledge-management"",""url"":""https://github.com/topics/knowledge-management""},{""text"":""meta-model"",""url"":""https://github.com/topics/meta-model""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""meta-data"",""url"":""https://github.com/topics/meta-data""},{""text"":""meta-framework"",""url"":""https://github.com/topics/meta-framework""}]"
"9tigerio/9tigerio","9tigerio","9tigerio","Instant no code DATA API platform for relational databases. Connect any database, run anywhere. Power your GENAI application function/tools calls in seconds.","434","Java","Dec 20, 2025, 11:01 PM GMT-5","https://github.com/9tigerio/9tigerio","https://github.com/9tigerio","[{""text"":""mysql"",""url"":""https://github.com/topics/mysql""},{""text"":""java"",""url"":""https://github.com/topics/java""},{""text"":""postgres"",""url"":""https://github.com/topics/postgres""},{""text"":""ai"",""url"":""https://github.com/topics/ai""},{""text"":""spring-boot"",""url"":""https://github.com/topics/spring-boot""},{""text"":""postgresql"",""url"":""https://github.com/topics/postgresql""},{""text"":""oracle"",""url"":""https://github.com/topics/oracle""},{""text"":""mariadb"",""url"":""https://github.com/topics/mariadb""},{""text"":""restapi"",""url"":""https://github.com/topics/restapi""},{""text"":""mysql-database"",""url"":""https://github.com/topics/mysql-database""},{""text"":""springboot"",""url"":""https://github.com/topics/springboot""},{""text"":""data-api"",""url"":""https://github.com/topics/data-api""},{""text"":""sqllite"",""url"":""https://github.com/topics/sqllite""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""nocode"",""url"":""https://github.com/topics/nocode""},{""text"":""lowcode"",""url"":""https://github.com/topics/lowcode""},{""text"":""llm"",""url"":""https://github.com/topics/llm""},{""text"":""generative-ai"",""url"":""https://github.com/topics/generative-ai""}]"
"zenitysec/zenitysec","zenitysec","zenitysec","Awesome Low Code platforms, vendors, tools and resources","420","","Jun 18, 2025, 4:18 AM GMT-5","https://github.com/zenitysec/zenitysec","https://github.com/zenitysec","[{""text"":""awesome"",""url"":""https://github.com/topics/awesome""},{""text"":""ipaas"",""url"":""https://github.com/topics/ipaas""},{""text"":""awesome-list"",""url"":""https://github.com/topics/awesome-list""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""rpa"",""url"":""https://github.com/topics/rpa""},{""text"":""robotic-process-automation"",""url"":""https://github.com/topics/robotic-process-automation""},{""text"":""low-code-development-platform"",""url"":""https://github.com/topics/low-code-development-platform""},{""text"":""business-process-automation"",""url"":""https://github.com/topics/business-process-automation""},{""text"":""citizen-developers"",""url"":""https://github.com/topics/citizen-developers""},{""text"":""citizen-development"",""url"":""https://github.com/topics/citizen-development""},{""text"":""integration-platform"",""url"":""https://github.com/topics/integration-platform""}]"
"valentin-vogel/valentin-vogel","valentin-vogel","valentin-vogel","A curated list of awesome nocode and lowcode ressources for building software without code.","380","","Oct 15, 2024, 9:26 PM GMT-5","https://github.com/valentin-vogel/valentin-vogel","https://github.com/valentin-vogel","[{""text"":""awesome"",""url"":""https://github.com/topics/awesome""},{""text"":""forms"",""url"":""https://github.com/topics/forms""},{""text"":""website-builder"",""url"":""https://github.com/topics/website-builder""},{""text"":""awesome-list"",""url"":""https://github.com/topics/awesome-list""},{""text"":""workflow-automation"",""url"":""https://github.com/topics/workflow-automation""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""nocode"",""url"":""https://github.com/topics/nocode""},{""text"":""low-code-development-platform"",""url"":""https://github.com/topics/low-code-development-platform""},{""text"":""lowcode"",""url"":""https://github.com/topics/lowcode""},{""text"":""low-code-development"",""url"":""https://github.com/topics/low-code-development""},{""text"":""nocode-list"",""url"":""https://github.com/topics/nocode-list""}]"
"mingdaocom/mingdaocom","mingdaocom","mingdaocom","明道云私有部署版 - 快速部署可免费使用的零代码企业应用平台（APaaS）","379","","Dec 16, 2025, 12:58 AM GMT-5","https://github.com/mingdaocom/mingdaocom","https://github.com/mingdaocom","[{""text"":""docker"",""url"":""https://github.com/topics/docker""},{""text"":""kubernetes"",""url"":""https://github.com/topics/kubernetes""},{""text"":""helm"",""url"":""https://github.com/topics/helm""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""apaas"",""url"":""https://github.com/topics/apaas""},{""text"":""no-code-platform"",""url"":""https://github.com/topics/no-code-platform""},{""text"":""no-code-coverage"",""url"":""https://github.com/topics/no-code-coverage""}]"
"FlowFuse/FlowFuse","FlowFuse","FlowFuse","Unlock Industrial Data. Integrate Everything. Optimize Faster. Quickly build workflows, applications and integrations that optimize your operations with our low-code, open-source, end to end platform.","366","JavaScript","Dec 23, 2025, 9:04 AM GMT-5","https://github.com/FlowFuse/FlowFuse","https://github.com/FlowFuse","[{""text"":""node-red"",""url"":""https://github.com/topics/node-red""},{""text"":""flow-based-programming"",""url"":""https://github.com/topics/flow-based-programming""},{""text"":""visual-programming"",""url"":""https://github.com/topics/visual-programming""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""low-code-development-platform"",""url"":""https://github.com/topics/low-code-development-platform""},{""text"":""low-code-development"",""url"":""https://github.com/topics/low-code-development""}]"
"warengonzaga/warengonzaga","warengonzaga","warengonzaga","A popular pure CSS text portrait builder for your loved ones. 🥰","365","JavaScript","Jun 27, 2025, 2:37 PM GMT-5","https://github.com/warengonzaga/warengonzaga","https://github.com/warengonzaga","[{""text"":""css"",""url"":""https://github.com/topics/css""},{""text"":""builder"",""url"":""https://github.com/topics/builder""},{""text"":""generator"",""url"":""https://github.com/topics/generator""},{""text"":""text"",""url"":""https://github.com/topics/text""},{""text"":""portrait"",""url"":""https://github.com/topics/portrait""},{""text"":""trending"",""url"":""https://github.com/topics/trending""},{""text"":""hacktoberfest"",""url"":""https://github.com/topics/hacktoberfest""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""cssart"",""url"":""https://github.com/topics/cssart""}]"
"panel-extensions/panel-extensions","panel-extensions","panel-extensions","A project providing a Graphic Walker Pane for use with HoloViz Panel.","351","Python","Dec 3, 2025, 8:37 AM GMT-5","https://github.com/panel-extensions/panel-extensions","https://github.com/panel-extensions","[{""text"":""visualization"",""url"":""https://github.com/topics/visualization""},{""text"":""python"",""url"":""https://github.com/topics/python""},{""text"":""data"",""url"":""https://github.com/topics/data""},{""text"":""data-mining"",""url"":""https://github.com/topics/data-mining""},{""text"":""notebook"",""url"":""https://github.com/topics/notebook""},{""text"":""eda"",""url"":""https://github.com/topics/eda""},{""text"":""data-visualization"",""url"":""https://github.com/topics/data-visualization""},{""text"":""business-intelligence"",""url"":""https://github.com/topics/business-intelligence""},{""text"":""vega"",""url"":""https://github.com/topics/vega""},{""text"":""vega-lite"",""url"":""https://github.com/topics/vega-lite""},{""text"":""data-analysis"",""url"":""https://github.com/topics/data-analysis""},{""text"":""tableau"",""url"":""https://github.com/topics/tableau""},{""text"":""data-exploration"",""url"":""https://github.com/topics/data-exploration""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""pivot-table"",""url"":""https://github.com/topics/pivot-table""},{""text"":""data-app"",""url"":""https://github.com/topics/data-app""},{""text"":""tableau-alternative"",""url"":""https://github.com/topics/tableau-alternative""},{""text"":""holoviz-panel"",""url"":""https://github.com/topics/holoviz-panel""}]"
"qq9068149/qq9068149","qq9068149","qq9068149","基于vue可视化拖拽编辑，页面生成工具。提升前端开发效率，可集成至移动端项目作为通过定义 JSON 直接生成 UI 界面。","347","Vue","Dec 5, 2025, 3:13 AM GMT-5","https://github.com/qq9068149/qq9068149","https://github.com/qq9068149","[{""text"":""low-code"",""url"":""https://github.com/topics/low-code""}]"
"chaibuilder/chaibuilder","chaibuilder","chaibuilder","Visual builder for React JS frameworks","341","TypeScript","Dec 18, 2025, 3:59 AM GMT-5","https://github.com/chaibuilder/chaibuilder","https://github.com/chaibuilder","[{""text"":""react"",""url"":""https://github.com/topics/react""},{""text"":""ai"",""url"":""https://github.com/topics/ai""},{""text"":""website-builder"",""url"":""https://github.com/topics/website-builder""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""tailwindcss"",""url"":""https://github.com/topics/tailwindcss""}]"
"moonrailgun/moonrailgun","moonrailgun","moonrailgun","基于JS的可视化蓝图编程引擎","339","TypeScript","Aug 19, 2023, 6:35 AM GMT-5","https://github.com/moonrailgun/moonrailgun","https://github.com/moonrailgun","[{""text"":""typescript"",""url"":""https://github.com/topics/typescript""},{""text"":""flow-based-programming"",""url"":""https://github.com/topics/flow-based-programming""},{""text"":""flowchart"",""url"":""https://github.com/topics/flowchart""},{""text"":""visual-programming"",""url"":""https://github.com/topics/visual-programming""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""nodebased"",""url"":""https://github.com/topics/nodebased""},{""text"":""visual-programming-editor"",""url"":""https://github.com/topics/visual-programming-editor""},{""text"":""blurprint"",""url"":""https://github.com/topics/blurprint""},{""text"":""codeck"",""url"":""https://github.com/topics/codeck""}]"
"Rintagi/Rintagi","Rintagi","Rintagi","Rintagi is the world's first open source low-code application platform with limitless extension and rejuvenation. Since 1999, Robocoder Corporation has used Rintagi to develop and maintain mission-critical database applications for reputable companies, spanning multiple industries. Join us on Discord: https://discord.gg/m9cc7GQ68e","332","C#","Jan 17, 2024, 8:40 AM GMT-5","https://github.com/Rintagi/Rintagi","https://github.com/Rintagi","[{""text"":""platform"",""url"":""https://github.com/topics/platform""},{""text"":""development"",""url"":""https://github.com/topics/development""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""rintagi"",""url"":""https://github.com/topics/rintagi""},{""text"":""high-productivity"",""url"":""https://github.com/topics/high-productivity""},{""text"":""high-control"",""url"":""https://github.com/topics/high-control""}]"
"RotaNova/RotaNova","RotaNova","RotaNova","Java低代码快速开发框架，含轻量级数据中台、轻量级物联网平台、基于ZLmediakit的流媒体平台等。基于该框架开发的智慧安防平台项目：https://github.com/RotaNova/isc","315","Java","Apr 19, 2023, 9:11 PM GMT-5","https://github.com/RotaNova/RotaNova","https://github.com/RotaNova","[{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""amis"",""url"":""https://github.com/topics/amis""},{""text"":""aliyun-iot"",""url"":""https://github.com/topics/aliyun-iot""},{""text"":""jeecgboot"",""url"":""https://github.com/topics/jeecgboot""},{""text"":""ruoyi"",""url"":""https://github.com/topics/ruoyi""},{""text"":""jetlinks"",""url"":""https://github.com/topics/jetlinks""},{""text"":""easyapi"",""url"":""https://github.com/topics/easyapi""},{""text"":""easycvr"",""url"":""https://github.com/topics/easycvr""}]"
